abut tuba
en one
en ozone
enact cane
epoch cope
era are
era bare
era care
era dare
era fare
era hare
era mare
era pare
era rare
era re
era tare
era ware
ere ere
ere here
ere mere
ere re
ere sere
ere were
erg ogre
erg re
ergo ogre
ergot ogre
err re
error re
eruct cure
erupt pure
eta ate
eta bate
eta collocate
eta date
eta fate
eta gate
eta hate
eta late
eta mate
eta pate
eta rate
eta sate
euro rue
eve eve
even eve
ever breve
ever eve
evil alive
evil live
evil olive
ewe ewe
ewe we
ewer ewe
ex axe
exam axe
eye eye
eye ye
eyed eye
fa oaf
face decaf
fed def
fee beef
fee reef
fern ref
fib if
fie if
fig if
fill if
fin if
fir if
fire serif
firer if
fit if
fix if
fizz if
flack calf
flea elf
fled elf
flee elf
fleece elf
flesh self
flew elf
flex elf
flog golf
flow wolf
flown wolf
flu gulf
fob of
foe of
fog of
fool aloof
fop of
for of
for prof
forever of
fox of
fresh serf
gab bag
gaff fag
gag gag
gaga gag
gage gag
gal flag
gal lag
gal slag
gala lag
gale lag
gall lag
game mag
gamete mag
gamy mag
gang nag
gar brag
gar crag
gar drag
gar rag
garb brag
garb rag
gas sag
gash sag
gasp sag
gate tag
gawk wag
gel leg
geld leg
gibe big
gift fig
gig gig
gigolo gig
gird rig
girl rig
girt rig
girt trig
girth trig
gnarl rang
gnash sang
gnat tang
gnaw twang
gnu bung
gnu dung
gnu hung
gnu lung
gnu rung
gnu sung
go bog
go cog
go dog
go fog
go hog
go jog
go log
go tog
gob bog
gobs bog
god dog
gold log
golf flog
golf log
gorge grog
got tog
grebe berg
grew erg
grey erg
grub burg
gulf lug
gull lug
gulp lug
gulp plug
gum mug
gum smug
gums mug
gums smug
gun snug
guru rug
gut tug
guts tug
ha ah
ha bah
ha hah
ha rah
had ah
hag ah
hah ah
hah hah
hah shah
hajj ah
halal ah
hall ah
ham ah
hap ah
hard rah
hare rah
hark rah
harm rah
harp rah
hart rah
has ah
hat ah
haw ah
hay ah
he eh
hell eh
hem eh
hen eh
hep eh
her eh
hew eh
hex eh
hey eh
ho oh
ho ooh
hob oh
hod oh
hoe oh
hog oh
hon oh
hood ooh
hooded ooh
hoof ooh
hook ooh
hoop ooh
hoop pooh
hoops pooh
hoot ooh
hop oh
hot oh
how oh
hub uh
hue uh
huff uh
hug uh
huh huh
huh uh
hull uh
hum uh
hut uh
imp mi
is psi
it cacti
it ti
it tutti
its ti
kayak kayak
kayo yak
keel eek
keel leek
keel sleek
keen eek
keep eek
keep peek
knife fink
knish sink
knit ink
knit stink
knock conk
know wonk
known wonk
kook kook
kooky kook
krill irk
la cecal
la gal
la minimal
la pal
la papal
la pupal
la rural
la sisal
la total
la usual
lace cecal
lace decal
lace fecal
lade medal
lade pedal
lag gal
lager regal
laid dial
lair trial
lam mammal
lamina animal
laminae animal
laminar animal
lanai anal
lane penal
lane renal
lane venal
lap opal
lap pal
late fetal
late metal
late petal
laud dual
lava naval
lee eel
lee feel
lee heel
lee keel
lee peel
lee reel
leek eel
leek keel
leer creel
leer eel
leer reel
leery reel
lees eel
leg gel
leper repel
level level
lever revel
liar ail
liar frail
liar rail
liar trail
lie veil
limb mil
lime mil
limn mil
limo mil
limp mil
limy mil
line nil
link nil
lint nil
lion oil
lire peril
lit 'til
live devil
live evil
liven evil
liver evil
lives evil
llama mall
lo pol
lo sol
loop pool
loop spool
loopy pool
loot stool
loot tool
looter retool
lop pol
lope pol
lorn enrol
lose sol
loss sol
lost sol
lyre beryl
ma am
ma cam
ma dam
ma ham
ma jam
ma lam
ma ram
ma tam
ma yam
ma'am ma'am
mace cam
mach cam
mad am
mad dam
madam madam
madame madam
made dam
mag am
male lam
mall am
mall lam
malt lam
man am
manikin am
map am
mar am
mar cram
mar dram
mar gram
mar ram
mar tram
maraca ram
march cram
mare ram
mark ram
marl ram
mart ram
mart tram
martini tram
mass am
mat am
mat tam
mate tam
math tam
matt am
matt tam
maw am
maw swam
max am
max exam
may am
may yam
mayo yam
me em
me 'em
me gem
me hem
me rem
me totem
media idem
medic idem
meed deem
meet teem
men em
mere rem
mess em
met em
met item
met stem
met system
mew em
mi aim
mi dim
mi him
mi rim
mi vim
mid dim
midi dim
mil slim
miler prelim
mine denim
mini minim
minim minim
minima minim
mire rim
mirror rim
mirth trim
miry rim
mob om
mod om
moll om
mom mom
mom om
moo boom
moo doom
moo loom
moo om
moo room
moo zoom
mood doom
moody doom
moor broom
moor groom
moor room
mop om
morph prom
moss om
mot atom
mot om
mot tom
mote tom
motet om
moth tom
motto bottom
mow om
mu bum
mu cecum
mu cum
mu gum
mu hum
mu ilium
mu minimum
mu mum
mu rum
mu sum
mu um
mu yum
much cum
muck cum
mud um
muff um
mug gum
mug um
mule velum
mull um
mum mum
mum um
mural arum
murk rum
muse sum
musette sum
mush sum
musk sum
muss opossum
muss sum
muss um
must sum
mutt um
my gym
'n' 'n'
nab an
nab ban
nabob an
nacelle can
nag an
name man
nap an
nap pan
nap span
nape pan
narc ran
nark ran
nary ran
nave van
navy van
nay an
nay cyan
nee been
nee en
nee keen
nee peen
nee seen
nee teen
nee ween
ne'er e'en
net en
net ten
never even
nevi given
nevi liven
nevi riven
new en
new wen
news wen
newt wen
nib bin
nib bobbin
nib in
nibs bin
niece in
nigh gin
nil in
nil poplin
nip in
nip pin
nip pippin
nip spin
nit in
nit tin
nite tin
niter cretin
nix in
no con
no don
no eon
no hon
no ion
no on
no son
no stetson
no ton
no won
no yon
nod don
nod on
node don
noel eon
noes eon
noise lesion
none tenon
none xenon
noon noon
noose soon
nor iron
nor on
nose meson
nose son
nosh son
nosy son
not on
not ton
note ton
now on
now won
nu bun
nu dun
nu fun
nu gun
nu nun
nu pun
nu rerun
nu run
nu sun
nu tun
nub bun
nude dun
nun nun
nut stun
nut tun
nuts stun
nuts tun
odd do
ode do
ode redo
ogre ergo
ogress ergo
oh ho
oh oho
oh rho
oh tho
oh who
ohm ho
oho coho
oho ho
oho oho
old lo
ole lo
on no
one keno
one no
ooh shoo
ooze zoo
oozy zoo
or bro
or fro
or pro
orate taro
orb bro
ore hero
ore zero
otter amaretto
ow two
pa cap
pa gap
pa hap
pa lap
pa map
pa nap
pa pap
pa rap
pa sap
pa tap
pa yap
pa zap
pace cap
pace recap
pacer recap
pack cap
pact cap
page gap
pal clap
pal flap
pal lap
pal slap
pale lap
palette lap
pall lap
palm lap
palsy slap
pan nap
pan snap
panama nap
pane nap
pang nap
pansy snap
pant nap
pap pap
papa pap
papaya pap
par crap
par rap
par trap
par wrap
parch crap
pare rap
park rap
part rap
part strap
part trap
parterre trap
partner entrap
party trap
pass sap
past sap
pat tap
pate tap
path tap
paw swap
pay yap
payee yap
pee beep
pee deep
pee jeep
pee keep
pee peep
pee seep
pee veep
pee weep
peek keep
peel bleep
peel sleep
peep peep
peer creep
peeve veep
peewee weep
pep pep
per prep
per rep
perk rep
perm rep
pert rep
pert strep
pet step
pi dip
pi hip
pi lip
pi nip
pi pip
pi rip
pi sip
pi tip
pi yip
pi zip
pile lip
pill lip
pin nip
pin snip
pinata nip
pine nip
ping nip
pink nip
pint nip
piny nip
pip pip
pipe pip
pipette pip
pis sip
piss sip
pit tip
pita tip
pith tip
pity tip
plan alp
plat alp
platelet alp
play alp
plug gulp
pock cop
pol clop
pol flop
pol glop
pol lop
pol plop
pol slop
pole lop
poll lop
polo lop
pomp mop
pooch coop
pooh hoop
pooh whoop
pool bloop
pool loop
pool sloop
poop poop
poor droop
poor troop
pop pop
pope pop
pops pop
porch crop
port strop
pose sop
posh sop
post sop
posy sop
pot atop
pot stop
pot top
prate tarp
prawn warp
pro gorp
psi lisp
psi wisp
pub up
puce cup
puck cup
puff up
pug up
pull up
pullup pullup
pun up
pup pup
pup up
pupa pup
purism sirup
purist sirup
purr up
pus sup
pus up
push sup
puss sup
puss up
put up
putt up
race car
raceme car
rack car
racy car
radar radar
raft far
rag agar
rag gar
raga agar
raga gar
rage gar
rags gar
rah char
rail liar
raja ajar
raja jar
rajah ajar
ram mar
ramp mar
rap par
rap spar
rape par
rapt par
rat avatar
rat star
rat tar
rate tar
rats star
rats tar
rattan attar
raw war
re divider
re fifer
re her
re leveler
re monomer
re paper
re peeper
re per
re piper
re tater
re teeter
re tooter
rebut tuber
recap pacer
recap spacer
red dodder
redivide divider
redness sender
redo coder
redraw warder
redrawn warder
reed deer
reedy deer
reel leer
reeve veer
refer prefer
refer refer
referee refer
referrer refer
refile lifer
refill lifer
regal lager
regale lager
relive reviler
rem mummer
remit timer
renal planer
rennin inner
rep pepper
rep per
repack caper
repaid diaper
repel leper
report roper
resale laser
resold loser
resole loser
retard rater
retarded rater
retina niter
retool looter
retrace carter
retract carter
retro porter
retro sorter
retsina banister
retsina canister
rev aver
rev ever
rev over
revel clever
revel ever
revel lever
revile deliver
revile liver
revolt lover
reward drawer
rewed ewer
reword rower
rework rower
rife fir
riff fir
rift fir
rim emir
rime emir
rise sir
risk sir
risotto sir
rob or
rod odor
rod or
roe or
roll or
roman enamor
rood door
room moor
roomette moor
rooms moor
roomy moor
rot or
rot tor
rotary gyrator
rote tor
rotor rotor
row or
rub bur
rube bur
ruby bur
ruff fur
sac as
sad as
sag as
sag gas
saga gas
sage degas
sage gas
sago gas
sail alias
salad alas
salt atlas
sap as
sass as
sat as
saw as
saw was
sawn was
sax as
say as
see lees
semi times
senile lines
sera wares
sex axes
sic is
side dis
sided is
siege is
sieve is
signing is
sill is
sin is
sine penis
sip is
sip pis
sir iris
sir is
sis is
sis sis
sit is
sit 'tis
sitar gratis
six axis
six is
smug gums
sneer greens
snipe ninepins
snub buns
spa taps
spar craps
spar traps
spat taps
spate taps
spin snips
spoof oops
spook oops
spool oops
spoon oops
spoor oops
spoor troops
spot tops
stab bats
star rats
stare rats
stark rats
stars rats
start rats
stat stats
stats stats
stiff its
still its
stir grits
stir its
stole lots
strap arts
straw arts
stray arts
strop sports
stun nuts
stung nuts
stunk nuts
stunt nuts
sub bus
sub us
sue us
suede us
sum us
sun anus
sun onus
sun us
sup opus
sup pus
sup us
supra carpus
sway yaws
tab at
tab bat
taboo bat
tack cat
taco cat
tact cat
tad at
tag at
talc eclat
tall at
tam at
tam mat
tame mat
tamp mat
tan at
tan gnat
tang gnat
tango gnat
tangy gnat
tap at
tap pat
tap spat
tape pat
taps pat
taps spat
tar at
tar brat
tar drat
tar frat
tar rat
tardy drat
tare rat
tarn rat
taro rat
tarp rat
tarp sprat
tarsus rat
tart rat
task sat
tat at
tat stat
tat tat
tau at
tax at
tee beet
tee feet
tee meet
teem meet
tell let
temp met
ten net
tend net
tenet tenet
tent net
tepee pet
test set
ti await
ti bit
ti fit
ti hit
ti it
ti kit
ti lit
ti nit
ti pipit
ti pit
ti sit
ti tit
ti wit
ti zit
tiara it
tic illicit
tic it
tide edit
tie it
tiff fit
tiff it
tike kit
tile lit
till it
till lit
tilt lit
time emit
time remit
timer emit
timer remit
times emit
tin it
tin knit
tin nit
tin snit
tin unit
tine nit
ting nit
tint nit
tiny nit
tip it
tip pit
tip spit
tipsy spit
tire merit
tit it
tit tit
to cot
to dot
to got
to hot
to idiot
to jot
to lot
to mot
to not
to pot
to rot
to sot
to tot
tog got
toga fagot
toga got
togs got
told lot
tole helot
tole lot
toll allot
toll lot
tom mot
tomb mot
tome mot
tomtit mot
ton knot
ton not
ton snot
tone not
tong not
tony not
too boot
too coot
too foot
too hoot
too loot
too moot
too root
too soot
too toot
tool loot
toot toot
tooth toot
top pot
top spot
tops pot
tops spot
tor rot
tor trot
tore rot
torn rot
tort rot
tort trot
torte trot
toss sot
tot tot
tote tot
trace cart
track cart
tract cart
trade dart
tram art
tram mart
tram smart
tramp mart
trap apart
trap art
trap part
trapeze part
traps part
trawl wart
tray art
tress assert
trig girt
trope deport
trope port
trope report
trot tort
troth tort
trots tort
trow wort
truce curt
truck curt
tub abut
tub but
tuba abut
tuba but
tubal abut
tube but
tube debut
tube rebut
tubed debut
tuber rebut
tuck cut
tug gut
tun nut
tuna nut
tune nut
turd rut
turf rut
turn rut
tut tut
tut-tut tut-tut
tutu tut
um emu
um mu
ump mu
undid nu
verb rev
versus rev
very rev
wad aw
wag aw
wale law
walk law
wall aw
wall law
wan aw
wan gnaw
wapiti paw
war aw
war craw
war draw
war raw
ward draw
ward raw
warder redraw
ware raw
warm raw
warn raw
warp raw
wart raw
wart straw
wary raw
was aw
was saw
wash saw
wasp saw
wast saw
waster fretsaw
watt aw
wax aw
way aw
way yaw
ways yaw
we dew
we few
we hew
we jew
we mew
we new
we pew
we sew
we yew
wed dew
wedded dew
weft few
welch clew
welsh slew
wen anew
wen knew
wen new
wend new
went new
wept pew
west sew
wet stew
woe meow
woe ow
wok ow
wold low
wolf flow
wolf low
womb mow
won know
won now
won ow
won snow
wonk know
wonk now
wont now
woo ow
word row
wore row
work row
worm row
worn row
wort row
wort trow
worth trow
wove vow
wow ow
wow wow
xenon ex
xi fix
xi mix
xi nix
xi pix
xi six
ya bay
ya cay
ya day
ya fay
ya gay
ya hay
ya jay
ya lay
ya may
ya nay
ya pay
ya ray
ya say
ya way
yack cay
yahoo hay
yak okay
yam may
yang nay
yank nay
yap pay
yap spay
yard dray
yard ray
yarn ray
yaw away
yaw sway
yaw way
yawl way
yawn way
yaws sway
yaws way
ye bey
ye fey
ye hey
ye key
yell alley
yo boy
yo coy
yo joy
yo soy
yo toy
you buoy
